label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
aHV_O39988_034,-0.191771127,1710,2109,-0.574632182,1388,2101,-0.383201654,0.191430527
aHV_O39988_035,-0.491448849,166,252,0.014612562,163,164,-0.238418144,0.253030705
aHV_O39988_036,0.282972618,240,213,0.009564238,207,209,0.146268428,0.13670419
aHV_O39988_037,-0.100499188,615,712,0.22084215,954,832,0.060171481,0.160670669
aHV_O39988_038,-0.630162053,289,483,0.192530607,434,386,-0.218815723,0.41134633
aHV_O39988_039,0.137885304,430,422,-0.128240243,442,491,0.004822531,0.133062773
aHV_O39988_040,0.187243704,465,441,-0.172073999,503,576,0.007584852,0.179658851
aHV_O39988_041,-0.298791426,795,1056,-0.013862129,840,862,-0.156326778,0.142464648
aHV_O39988_042,0.132747378,1258,1239,0.133349944,1445,1339,0.133048661,0.000301283
aHV_O39988_043,0.010227677,374,401,-0.016864952,353,363,-0.003318638,0.013546315
aHV_O75324_001,-0.042623036,1328,1477,0.13540828,1473,1363,0.046392622,0.089015658
aHV_O75324_002,-0.047690851,1955,2182,0.075539396,2199,2121,0.013924272,0.061615123
aHV_P01876_001,0.214559529,2853,2655,0.316762176,2984,2435,0.265660852,0.051101323
aHV_P01876_002,0.234971054,3395,3115,-0.01039001,3330,3409,0.112290522,0.122680532
aHV_P01876_003,-0.010235461,1417,1541,0.070713939,1706,1651,0.030239239,0.0404747
aHV_P01876_004,-0.396905731,1956,2781,-0.253480015,2103,2548,-0.325192873,0.071712858
aHV_P01876_005,-0.467712887,3657,5461,-0.303166134,4129,5178,-0.385439511,0.082273376
aHV_P01876_006,-0.511865381,1234,1900,-0.40297316,1390,1868,-0.45741927,0.054446111
aHV_P01876_007,-0.199906307,3121,3871,-0.42370075,2989,4075,-0.311803529,0.111897221
aHV_P01876_008,-0.328062022,1547,2097,-0.331216482,1543,1973,-0.329639252,0.00157723
aHV_P01876_009,-0.234021386,5141,6529,-0.250396495,5435,6571,-0.24220894,0.008187554
aHV_P01876_010,-0.282188326,2488,3267,-0.220331946,2651,3139,-0.251260136,0.03092819
aHV_P01876_011,-0.163119624,3788,4580,-0.178296539,3798,4368,-0.170708081,0.007588457
aHV_P01876_012,1.002709628,15361,8278,0.962742465,16338,8520,0.982726046,0.019983581
aHV_P01876_013,1.766982492,4214,1337,1.556961102,4105,1418,1.661971797,0.105010695
aHV_P01876_014,-0.123574202,2177,2561,-0.075669056,2236,2395,-0.099621629,0.023952573
aHV_P01876_015,-0.103357068,2081,2414,-0.431238059,1795,2460,-0.267297564,0.163940496
aHV_P01876_016,-0.171170044,2196,2670,-0.318935363,1990,2523,-0.245052704,0.073882659
aHV_P01876_017,-0.309446101,3877,5188,-0.319206623,3969,5033,-0.314326362,0.004880261
